"ENERGY STAR Unique ID","ENERGY STAR Partner","Brand Name","Model Name","Model Number","Additional Model Information","UPC","Product Type","Oven Classification","Size","Heat Source Fuel Type","Input Rate (kW)","Input Rate (Btu/hr)","Gas Oven Convection Mode Pre-Heat Energy (Btu)","Electric Oven Convection Mode Pre-Heat Energy (kWh)","Convection Mode Pre-Heat Time (min)","Gas Oven Steam Mode Pre-Heat Energy (Btu)","Electric Oven Steam Mode Pre-Heat Energy (kWh)","Steam Mode Pre-Heat Time (min)","Electric Oven Convection Mode Idle Energy Rate (kW)","Gas Oven Convection Mode Idle Energy Rate (Btu/hr)","Gas Oven Convection Mode Electric Idle Energy Rate (kW)","Gas Oven Convection Mode Total Idle Energy Rate (Btu/hr)","Method of Steam Generation","Half-Size and Full-Size Steam Pan Capacity","Two-Thirds-Size Steam Pan Capacity","Half-Size Sheet Pan Capacity","Full-Size Sheet Pan Capacity","Electric Oven Steam Mode Idle Energy Rate (kW)","Gas Oven Steam Mode Idle Energy Rate (Btu/hr)","Gas Oven Steam Mode Electric Idle Energy Rate (kW)","Gas Oven Steam Mode Total Idle Energy Rate (Btu/hr)","Convection Mode Cooking Energy Efficiency (%)","Steam Mode Cooking Energy Efficiency (%)","Convection Mode Production Capacity (lbs/hr)","Steam Mode Production Capacity (lbs/hr)","Convection Mode Cooking Period Water Consumption (gal/pan)","Convection Mode Idle Period Water Consumption (gal/hr/pan)","Steam Mode Cooking Period Water Consumption (gal/pan)","Steam Mode Idle Period Water Consumption (gal/hr/pan)","Rack Oven Baking-Energy Efficiency (%)","Baking Production Capacity (lbs/hr)","Set-Back Idle Mode","Steam Injection Period Water Consumption (gal/min)","Date Available on Market","Date Certified","Markets","CB Model Identifier"
"3436237","HOUNÖ A/S","Dieta","Invoq Combi 6 1/1 GN (PT)","Combi 6 1/1","","","Combination","Type I - Table, countertop, and stand mounted units","","Electric","10.3",,,"1","6.57",,"1","9.42","0.8",,"",,"Boiler-less/Spritzer/Injector","7",,,"7","0.62",,"","","78","58","59.56","71.43","0.02","0.02","0.22","0.22",,,"",,"12/01/2023","04/05/2024","United States, Canada","ES_1148949_Hybrid 6 1/1_04122024162456_80198196"
"3436269","HOUNÖ A/S","Dieta","Invoq Combi 6 2/1 GN","Combi 6 2/1","","","Combination","Type I - Table, countertop, and stand mounted units","Full-size","Electric","22.3",,,"2","4.25",,"1","2.43","1.1",,"",,"Boiler-less/Spritzer/Injector","14",,,"14","0.64",,"","","80","75","112.6","168.2","0.09","0.02","0.07","0.01",,,"",,"12/01/2023","04/05/2024","United States, Canada","ES_1148949_Hybrid 6 2/1_04122024162760_80198196"
"3436256","HOUNÖ A/S","Dieta","Invoq Hybrid 10 1/1 GN (PT)","Hybrid 10 1/1","","","Combination","Type I - Table, countertop, and stand mounted units","","Electric","19.3",,,"1","4.13",,"1","7.4","1.01",,"",,"Boiler/Steam Generator","10",,,"10","0.83",,"","","78","59","83.96","114.11","0.01","0.01","0.11","0.11",,,"",,"12/01/2023","04/05/2024","United States, Canada","ES_1148949_Combi 6 2/1_04122024162499_80198196"
"3436294","HOUNÖ A/S","Dieta","Invoq Hybrid 10 2/1 GN","Hybrid 10 2/1","","","Combination","Type I - Table, countertop, and stand mounted units","Full-size","Electric","31.3",,,"2","3.09",,"2","7.06","1.2",,"",,"Boiler/Steam Generator","20",,,"20","0.69",,"","","81","72","161.3","155.5","0","0.01","0.08","0.01",,,"",,"12/01/2023","04/05/2024","United States, Canada","ES_1148949_Combi 20 1/1_04122024162699_80198196"
"3436304","HOUNÖ A/S","Dieta","Invoq Hybrid 20 1/1 GN","Hybrid 20 1/1","","","Combination","Type II - Floor and roll-in units","Half-size","Electric","38.2",,,"3","4.33",,"3","11.41","1.74",,"",,"Boiler/Steam Generator","20",,,"20","1.05",,"","","78","67","173.34","225.95","1.34","0.01","0.08","0.02",,,"",,"12/01/2023","04/05/2024","United States, Canada","ES_1148949_Combi 20 2/1_04122024162185_80198196"
"3436320","HOUNÖ A/S","Dieta","Invoq Hybrid 20 2/1 GN","Hybrid 20 2/1","","","Combination","Type II - Floor and roll-in units","Full-size","Electric","62.2",,,"3","2.59",,"3","11.4","2",,"",,"Boiler/Steam Generator","40",,,"40","1.08",,"","","81","77","329.63","389.34","0","0","0.06","0.01",,,"",,"12/01/2023","04/05/2024","United States, Canada","ES_1148949_Combi 6 1/1_04122024166547_80198196"
"3436238","HOUNÖ A/S","Dieta","Invoq Hybrid 6 1/1 GN (PT)","Hybrid 6 1/1","","","Combination","Type I - Table, countertop, and stand mounted units","","Electric","10.3",,,"1","6.57",,"1","9.42","0.8",,"",,"Boiler/Steam Generator","7",,,"7","0.62",,"","","78","64","59.56","76.11","0.02","0.02","0.11","0.11",,,"",,"12/01/2023","04/05/2024","United States, Canada","ES_1148949_Combi 10 1/1_04122024162457_80198196"
"3436270","HOUNÖ A/S","Dieta","Invoq Hybrid 6 2/1 GN","Hybrid 6 2/1","","","Combination","Type I - Table, countertop, and stand mounted units","Full-size","Electric","22.3",,,"2","4.25",,"1","3.09","1.1",,"",,"Boiler/Steam Generator","14",,,"14","0.67",,"","","80","71","112.6","166.3","0.09","0.02","0.09","0.01",,,"",,"12/01/2023","04/05/2024","United States, Canada","ES_1148949_Combi 10 2/1_04122024162761_80198196"
"3436261","HOUNÖ A/S","Firex","Invoq Combi 10 1/1 GN (PT)","Combi 10 1/1","","","Combination","Type I - Table, countertop, and stand mounted units","","Electric","19.3",,,"1","4.13",,"1","3.11","1.01",,"",,"Boiler-less/Spritzer/Injector","10",,,"10","0.73",,"","","78","62","83.96","96.78","0.01","0.01","0.16","0.16",,,"",,"12/01/2023","04/05/2024","United States, Canada","ES_1148949_Hybrid 10 1/1_04122024162428_80198196"
"3436291","HOUNÖ A/S","Firex","Invoq Combi 10 2/1 GN","Combi 10 2/1","","","Combination","Type I - Table, countertop, and stand mounted units","Full-size","Electric","31.3",,,"2","3.09",,"1","1.45","1.2",,"",,"Boiler-less/Spritzer/Injector","20",,,"20","0.61",,"","","81","73","161.3","134.1","0","0.01","0.07","0.01",,,"",,"12/01/2023","04/05/2024","United States, Canada","ES_1148949_Hybrid 10 2/1_04122024162694_80198196"
"3436309","HOUNÖ A/S","Firex","Invoq Combi 20 1/1 GN","Combi 20 1/1","","","Combination","Type II - Floor and roll-in units","Half-size","Electric","38.2",,,"3","4.33",,"1","2.12","1.74",,"",,"Boiler-less/Spritzer/Injector","20",,,"20","0.93",,"","","78","70","173.34","176.72","1.34","0.01","0.09","0.02",,,"",,"12/01/2023","04/05/2024","United States, Canada","ES_1148949_Hybrid 20 1/1_04122024162180_80198196"
"3436325","HOUNÖ A/S","Firex","Invoq Combi 20 2/1 GN","Combi 20 2/1","","","Combination","Type II - Floor and roll-in units","Full-size","Electric","62.2",,,"3","2.59",,"2","1.57","2",,"",,"Boiler-less/Spritzer/Injector","40",,,"40","0.99",,"","","81","78","329.63","307.93","0","0","0.05","0.01",,,"",,"12/01/2023","04/05/2024","United States, Canada","ES_1148949_Hybrid 20 2/1_04122024162013_80198196"
"3436245","HOUNÖ A/S","Firex","Invoq Combi 6 1/1 GN (PT)","Combi 6 1/1","","","Combination","Type I - Table, countertop, and stand mounted units","","Electric","10.3",,,"1","6.57",,"1","9.42","0.8",,"",,"Boiler-less/Spritzer/Injector","7",,,"7","0.62",,"","","78","58","59.56","71.43","0.02","0.02","0.22","0.22",,,"",,"12/01/2023","04/05/2024","United States, Canada","ES_1148949_Hybrid 6 1/1_04122024162414_80198196"
